name,actual price,current price,rating,reviews
Anker Soundcore P40i Earbuds,"Rs  14,500","Rs  12,799",5.0,2
Faster True Wireless Noise Reduction Earbuds (E20),"Rs  4,500","Rs  3,699",4.6,5
Faster Wireless Gaming Earbuds (TG300),"Rs  6,000","Rs  5,199",5.0,2
FASTER R12 PRO EARBUDS,"Rs  5,000","Rs  3,799",,
MONSTER AIRMARS XKT02 True Wireless Bluetooth Earphones,"Rs  4,499","Rs  3,749",5.0,1
Lenovo XT88 TWS Wireless Earphone,"Rs  3,500","Rs  3,299",5.0,1
Dany Airdots 101,"Rs  7,499","Rs  2,999",4.8,84
Air 13 Pro TWS Bluetooth Earbuds,"Rs  3,000",Rs  999,4.9,6
Jr07 Open Dual Mic Noise Cancel Earbuds,"Rs  4,000","Rs  1,999",,
P9 pro max Wireless Headset,"Rs  2,500","Rs  1,219",4.2,13
Hottu TWS Earphone HOT-TS16,"Rs  5,500","Rs  3,499",,
XO X26 Graphic TWS Bluetooth Earphones,"Rs  5,000","Rs  2,899",,
Ronin R-7020 Earbuds,"Rs  8,599","Rs  3,899",5.0,2
Anker A20i True Wireless Earbuds,"Rs  8,000","Rs  4,672",5.0,14
Lenovo XT82 TWS Wireless Earbuds,"Rs  3,650","Rs  3,299",4.8,15
Sony WF-1000XM5 Wireless Noise Cancelling Earbuds,"Rs  70,000","Rs  58,999",5.0,4
XINJI STONE M2 TWS EARBUDS,"Rs  8,000","Rs  5,399",,
M8 True Wireless Earbuds,"Rs  3,000","Rs  1,299",2.5,1
Gq-03 Colorful RGB Light Headphones,"Rs  3,000","Rs  2,199",,
HOTTU Neckband (NB11),"Rs  2,500","Rs  2,049",5.0,3
Hottu TWS Earbuds HOT-TS20,"Rs  7,000","Rs  3,649",,
JBL Tune 760NC Wireless Headphones,"Rs  24,000","Rs  18,799",5.0,1
Beats Studio Buds,"Rs  32,000","Rs  24,999",4.9,7
Imiki MT2 Wireless Erbuds,"Rs  6,999","Rs  3,899",,
Redmi Buds 4 Pro,"Rs  18,999","Rs  13,999",4.8,3
Mars Air Pro 2 Wireless Earbuds,"Rs  4,000","Rs  2,399",,
P47 Wireless Bluetooth Stereo Headphones,"Rs  1,599",Rs  877,4.8,128
Amgras Future II Pro Bluetooth Transparent Earphone  ENC,"Rs  4,100","Rs  2,499",,
Amgras Future A8 Pro Earbuds,"Rs  3,500","Rs  2,029",5.0,3
YD MINI Wireless Bluetooth Earbuds,"Rs  2,500","Rs  1,449",4.0,2
Redmi Buds 4 Active,"Rs  6,500","Rs  4,399",4.6,36
Hottu HOT TS10 Wireless Earphone,"Rs  4,000","Rs  3,249",,
Hottu HOT TS21 Wireless Earphone,"Rs  5,999","Rs  3,849",,
Airox E7 Wireless Earbuds,"Rs  5,100","Rs  2,499",,
Airox BT009 Wireless Bluetooth Headset,"Rs  2,500","Rs  1,299",5.0,1
Google Pixel Buds Pro,"Rs  50,000","Rs  40,999",,
Soundpeats Air4 Pro Wireless Earbuds,"Rs  21,000","Rs  14,399",5.0,3
SoundPeats Air4 Bluetooth Headphones Transparent version,"Rs  20,000","Rs  11,749",,
QCY MeloBuds Neo T31,"Rs  6,000","Rs  5,149",,
Lenovo LP1 Pro Earbuds,"Rs  4,500","Rs  3,299",5.0,2
Sony WH-1000XM5 Wireless ANC Headphones,"Rs  108,000","Rs  80,999",,
XO T5Pods Bluetooth Airpods,"Rs  4,000","Rs  3,299",,
DUDAO U2N 2nd Gen TWS Earphones,"Rs  3,900","Rs  2,799",,
SiGMA Wireless Sports Earphones SBH-12,"Rs  5,000","Rs  3,249",,
QCY T13 Wireless Earphones,"Rs  5,200","Rs  4,799",4.9,14
Samsung Galaxy Buds 2 Pro,"Rs  39,999","Rs  26,599",4.9,110
Sony WH-CH520 Wireless Headphones,"Rs  20,000","Rs  12,599",5.0,2
