name,actual price,current price,rating,reviews
Itel Neo X30+,"Rs  7,000","Rs  6,499",4.6,9
REMAXX Thunder Pro,"Rs  2,650","Rs  2,649",,
XMobile Mega Gabbar,"Rs  4,099","Rs  3,999",,
XMobile Music King,,"Rs  3,899",,
E-Tachi Mega King,,"Rs  3,949",4.5,2
Club Mobile Noori naath,"Rs  3,199","Rs  3,099",,
Club Mobile Night Club Pro,"Rs  2,999","Rs  2,899",5.0,1
Club Mobile Rambo,"Rs  3,499","Rs  2,999",,
Faywa Music 700,"Rs  3,400","Rs  3,349",,
FAYWA Prime 2,"Rs  2,449","Rs  2,149",5.0,1
Honor X6,"Rs  29,999","Rs  23,399",4.8,72
XSmart Nova 5,,"Rs  18,099",,
UMIDIGI G3 Plus,"Rs  29,999","Rs  24,999",,
Oppo Reno 12F 5G,"Rs  79,999","Rs  74,999",5.0,2
Villaon V30 RS,"Rs  20,999","Rs  19,999",4.8,3
Apple iPhone 12,"Rs  200,000","Rs  174,999",5.0,24
Apple iPhone 16 Plus,"Rs  407,500","Rs  390,999",,
Tecno SPARK 30 Pro,"Rs  45,999","Rs  40,499",4.8,15
Xiaomi Mix Flip,"Rs  399,999","Rs  334,999",,
VGO TEL S10,,"Rs  4,099",5.0,1
itel Value 100,"Rs  2,899","Rs  2,799",4.9,70
Sparx Neo 8 lite,"Rs  19,999","Rs  18,399",,
Honor 90,"Rs  179,999","Rs  144,999",5.0,1
Honor X9a 5G,"Rs  129,999","Rs  101,999",,
GFive Lion,,"Rs  3,350",,
Calme Ultra Pro X,,"Rs  3,349",,
me Mobile L109,,"Rs  3,149",,
GRESSO E1280,"Rs  3,000","Rs  2,799",5.0,16
GRESSO Turbo 2 Plus,,"Rs  2,899",5.0,3
XMobile Music Ka Sultan Plus,,"Rs  3,899",,
XMobile Gabbar Plus,,"Rs  3,599",,
XMobile X4 Plus,,"Rs  3,749",,
E-Tachi Magic E5,,"Rs  3,749",5.0,2
Spice S5,,"Rs  2,999",,
Club Mobile Music 400,,"Rs  3,499",,
Club Mobile Light club pro,,"Rs  2,999",,
Xsmart Core X,"Rs  22,499","Rs  20,899",5.0,1
UMIDIGI A15C,"Rs  37,999","Rs  35,199",,
Hello Tech V2,,"Rs  2,399",,
Apple iPhone 14,"Rs  299,999","Rs  274,999",5.0,3
QMobile Qsmart Blaze,"Rs  21,999","Rs  14,799",4.8,33
Xiaomi 14,"Rs  339,999","Rs  319,999",3.8,6
Gfive 15 Pro,"Rs  3,899","Rs  3,749",,
Calme E1000,,"Rs  3,249",,
Calme Sound Master,,"Rs  3,249",,
Calme C112,,"Rs  2,599",,
DIGIT Hero,"Rs  7,500","Rs  4,049",,
GRESSO CR7,,"Rs  2,799",5.0,2
Tecno Phantom V Fold,"Rs  349,999","Rs  259,999",,
Dcode Cygnal 3 Lite,"Rs  23,499","Rs  18,199",4.9,30
itel S23 Plus,"Rs  44,999","Rs  36,999",4.9,4
XMobile Gabbar Pro Plus,,"Rs  3,699",,
XMobile X1000 Party,,"Rs  3,599",,
Faywa NEX1 4G,"Rs  7,799","Rs  7,599",5.0,2
Honor X6a,"Rs  30,999","Rs  24,799",4.9,48
Villaon V5606,,"Rs  2,249",5.0,1
Tecno Phantom V Fold,"Rs  349,999","Rs  259,999",,
Xmobile Dabang Pro,,"Rs  3,799",,
Faywa E1000 Music,,"Rs  3,600",,
Faywa F10,"Rs  3,199","Rs  2,849",,
GIONEE L800i,,"Rs  3,799",,
itel Flip 1,"Rs  6,999","Rs  6,099",4.9,11
Memobile Hungama Max,,"Rs  3,399",,
REMAXX R110,"Rs  2,350","Rs  2,349",4.5,2
REMAXX Star,,"Rs  2,899",5.0,1
Xmobile X101,,"Rs  2,599",5.0,1
Faywa Music 500,"Rs  3,600","Rs  3,299",,
FAYWA Prime 1,"Rs  2,499","Rs  2,349",,
OUKITEL C36,"Rs  20,999","Rs  20,499",,
AllCall Hero 20i,"Rs  19,999","Rs  19,099",,
REMAXX R1280,"Rs  2,350","Rs  2,349",,
REMAXX R105,,"Rs  2,699",5.0,2
REMAXX Hero,,"Rs  2,450",5.0,1
Xmobile D4 Lite,,"Rs  4,049",4.0,1
Xmobile X4 Ultra,,"Rs  3,745",,
Faywa J1 Classic,,"Rs  3,149",,
Faywa Music 800,"Rs  3,300","Rs  3,099",,
Sparx Neo 6,"Rs  16,999","Rs  15,999",4.7,21
Honor X8b,"Rs  79,999","Rs  69,499",4.9,11
AllCall Magic 15,"Rs  19,499","Rs  18,629",,
CALME 4G Power,"Rs  9,800","Rs  9,399",5.0,3
Vivo V30 5G,"Rs  129,999","Rs  113,999",5.0,17
Memobile ismart,"Rs  3,299","Rs  3,199",3.3,3
Xmobile G3 Plus,,"Rs  3,899",,
Calme C16,"Rs  2,999","Rs  2,399",,
Calme C7 pro,,"Rs  3,349",4.5,4
Gresso A10,,"Rs  3,300",,
REMAXX Eco,"Rs  2,500","Rs  2,499",5.0,1
XMOBILE E4 NEW,,"Rs  3,799",5.0,1
Xmobile Power X,,"Rs  3,899",,
Xmobile X2 Plus,,"Rs  2,899",,
Xmobile X16,,"Rs  3,999",4.0,1
Faywa F4,"Rs  2,985","Rs  2,899",,
QMobile SL50i,,"Rs  3,999",4.8,3
Qmobile QGuru,,"Rs  1,999",4.9,10
Nokia 5310 (2020),,"Rs  9,599",4.9,20
Nokia 2660 Flip,,"Rs  16,199",5.0,36
Samsung Galaxy A13,,"Rs  32,999",4.9,404
Samsung Galaxy S22 Ultra,,"Rs  289,999",4.9,101
Samsung Galaxy S22,,"Rs  194,999",4.9,26
Samsung Galaxy S23 Ultra,,"Rs  332,999",4.6,14
Samsung Galaxy Z Flip 5,,"Rs  303,999",5.0,2
Infinix Hot 30i,,"Rs  22,549",4.9,41
Xiaomi Redmi A1+,,"Rs  16,299",4.9,321
Realme GT 6,,"Rs  149,999",,
Tecno Camon 20 Pro,,"Rs  43,999",4.9,79
itel P17 Pro,,"Rs  11,299",4.8,54
itel Muzik 410 Pro,,"Rs  3,999",,
Itel Super Guru 600,,"Rs  3,399",4.7,19
Dcode Bold 2,,"Rs  18,999",4.8,24
VGO TEL i251,,"Rs  3,399",4.5,6
VGO TEL iMusic,,"Rs  3,999",4.0,4
VGO TEL i12,,"Rs  4,949",5.0,2
GFive Style,,"Rs  2,999",5.0,2
GFive 2Eye,,"Rs  1,949",4.7,13
GFive star,,"Rs  1,999",5.0,8
GFive Mega,,"Rs  2,149",,
Jazz Digit Crown 4G,,"Rs  6,299",,
Jazz Digit E3 Pro 4G,,"Rs  10,999",4.8,73
Digit Infinity Max,,"Rs  18,799",,
ZTE Blade A72s,,"Rs  22,499",4.9,138
ZTE Blade A54,,"Rs  18,999",4.8,47
me Mobile Magic Star,,"Rs  3,550",4.9,21
Memobile Banana,,"Rs  2,199",5.0,4
GRESSO R106 Pro,,"Rs  2,549",,
GRESSO R106,,"Rs  2,799",5.0,1
Samsung Galaxy S22 Ultra,,"Rs  289,999",4.9,101
Samsung Galaxy S22,,"Rs  194,999",4.9,26
Samsung Galaxy S23 Ultra,,"Rs  332,999",4.6,14
Samsung Galaxy Z Flip 5,,"Rs  303,999",5.0,2
Infinix Hot 30i,,"Rs  22,549",4.9,41
Xiaomi Redmi A1+,,"Rs  16,299",4.9,321
Realme GT 6,,"Rs  149,999",,
Tecno Camon 20 Pro,,"Rs  43,999",4.9,79
itel P17 Pro,,"Rs  11,299",4.8,54
itel Muzik 410 Pro,,"Rs  3,999",,
Itel Super Guru 600,,"Rs  3,399",4.7,19
Dcode Bold 2,,"Rs  18,999",4.8,24
VGO TEL i251,,"Rs  3,399",4.5,6
VGO TEL iMusic,,"Rs  3,999",4.0,4
VGO TEL i12,,"Rs  4,949",5.0,2
GFive G3310,,"Rs  2,749",5.0,2
GFive Big Fighter,,"Rs  2,749",4.3,2
GFive Fighter,,"Rs  2,899",5.0,2
GFive Rock,,"Rs  2,700",,
GFive pro,,"Rs  3,199",5.0,9
Digit Glory 1,,"Rs  12,799",4.7,25
Digit 4G Power Max,,"Rs  6,500",4.6,4
MeMobile Grace 10,,"Rs  29,999",,
Memobile XL300,,"Rs  3,499",3.0,1
XMobile X4,,"Rs  3,499",,
XMobile Jeet,,"Rs  2,799",5.0,1
XMobile X4 Lite,,"Rs  3,999",5.0,1
XMobile X1 Lite,,"Rs  2,399",5.0,1
E-Tachi B105 Lite,,"Rs  2,599",4.9,6
E-Tachi B555,,"Rs  2,199",5.0,3
E-tachi Star One,,"Rs  3,899",,
Club Mobile A3000,,"Rs  3,399",4.6,4
Club Mobile Rainbow 5000,,"Rs  3,369",5.0,1
QMobile SL100 Power,,"Rs  4,299",4.7,3
QMobile E400i,,"Rs  3,599",,
QMobile Music 400 Pro,,"Rs  3,777",5.0,2
Xiaomi Poco C65,,"Rs  35,999",4.8,11
Xiaomi 14 Ultra,,"Rs  369,599",,
Motorola Moto G54 5G,,"Rs  43,499",4.8,33
Itel A60s,,"Rs  18,999",4.9,122
Oppo A38,,"Rs  40,999",4.9,27
Oppo Reno 11 5G,,"Rs  104,999",5.0,6
Oppo Reno 11F 5G,,"Rs  78,999",4.8,62
GFive G3310,,"Rs  2,749",5.0,2
GFive Big Fighter,,"Rs  2,749",4.3,2
GFive Fighter,,"Rs  2,899",5.0,2
GFive Rock,,"Rs  2,700",,
GFive pro,,"Rs  3,199",5.0,9
Digit Glory 1,,"Rs  12,799",4.7,25
Digit 4G Power Max,,"Rs  6,500",4.6,4
